links,categories,context
https://service-public.bj/public/services/service/PS00393,Agence Nationale d’Identification des Personnes,"Délivrance d'acte de naissance sécurisé
* Acte de naissance PRAN/PEDEC * Acte de naissance copie intégrale * Acte de naissance par transcription
Durée estimée:
48h
Coût de service:
1000 FCFA
Site Internet:
https://eservices.anip.bj
Qui peut faire la demande?
Tout citoyen de nationalité béninoise
Institution en charge du service:
Agence Nationale d’Identification des Personnes
Institution compétente:
Agence Nationale d’Identification des Personnes
Localisation, heures de service:
Patte d’Oie, Cadjèhoun Cotonou, à côté de la station SONACOP de Cadjèhoun E-Mail : contact@anip.bj Palais de la Marina 01BP2028 Cotonou-Bénin, Lundi au Vendredi -Matinée : 08h00mn-12h30mn -Soirée : 12h00mn-17h00mn
Faire une demande ❖ Cas des nationaux nés sur le territoire béninois :
copie du récépissé RAVIP ;
copie de l’ancien acte de naissance ;
coût 1.000 F CFA. ❖ Cas des nationaux nés à l'étranger mais de parents béninois :
copie du récépissé RAVIP ;
copie de l’ancien acte de naissance ;
copie du certificat de nationalité ou de l’acte de naissance de l’un des parents béninois ;
coût 1.000 F CFA. ❖ Cas des nationaux nés à l'étranger mais de parents béninois décédés :
copie du récépissé RAVIP ;
copie de l’ancien acte de naissance ;
copie de l’acte de naissance de la mère ou du père décédé ;
copie de l’acte de décès du parent ;
coût 1.000 F CFA."
https://service-public.bj/public/services/service/PS00842,Agence Nationale d’Identification des Personnes,"Délivrance de certificat de coutumes et de célibat
Document sécurisé qui atteste :
que vous remplissez les conditions prévues par votre loi nationale pour vous marier ;
que vous n’êtes pas engagé(e) dans les liens d’un mariage.
Durée estimée:
72 heures
Coût de service:
2000 FCFA
Site Internet:
https://eservices.anip.bj
Qui peut faire la demande?
Tout citoyen béninois célibataire
Institution en charge du service:
Agence Nationale d’Identification des Personnes
Institution compétente:
Agence Nationale d’Identification des Personnes
Localisation, heures de service:
Patte d’Oie, Cadjèhoun Cotonou, à côté de la station SONACOP de Cadjèhoun E-Mail : contact@anip.bj Palais de la Marina 01BP2028 Cotonou-Bénin, Lundi au Vendredi -Matinée : 08h00mn-12h30mn -Soirée : 12h00mn-17h00mn
Faire une demande Demande adressée au Gestionnaire Mandataire de l'ANIP
Acte de naissance
NPI (CIP ou Attestation fID)"
https://service-public.bj/public/services/service/PS00691,Agence Nationale d’Identification des Personnes,"Délivrance de l'attestation d'Identité Fondationnelle(FID)
Document sécurisé qui certifie de l'identité de la personne
Durée estimée:
Instantannée
Coût de service:
0 FCFA (Projet WURI)
Qui peut faire la demande?
Tout citoyen
Institution en charge du service:
Agence Nationale d’Identification des Personnes
Institution compétente:
Agence Nationale d’Identification des Personnes
Localisation, heures de service:
Patte d’Oie, Cadjèhoun Cotonou, à côté de la station SONACOP de Cadjèhoun E-Mail : contact@anip.bj Palais de la Marina 01BP2028 Cotonou-Bénin, Lundi au Vendredi -Matinée : 08h00mn-12h30mn -Soirée : 12h00mn-17h00mn"
https://service-public.bj/public/services/service/PS00406,Agence Nationale d’Identification des Personnes,"Délivrance de la carte d'identité nationale biométrique
Carte d'identité biométrique
Coût de service:
6000 FCFA
Site Internet:
https://eservices.anip.bj
Qui peut faire la demande?
Tout citoyen ayant la nationalité béninoise
Institution en charge du service:
Agence Nationale d’Identification des Personnes
Institution compétente:
Agence Nationale d’Identification des Personnes
Législation:
DÉCRET N° 2O2O- 396 DU 29 JUILLET 2O2O
Localisation, heures de service:
Patte d’Oie, Cadjèhoun Cotonou, à côté de la station SONACOP de Cadjèhoun E-Mail : contact@anip.bj Palais de la Marina 01BP2028 Cotonou-Bénin, Lundi au Vendredi -Matinée : 08h00mn-12h30mn -Soirée : 12h00mn-17h00mn
Faire une demande Acte de naissance sécurisé (obligatoire, peut être obtenu à l'ANIP ou dans ses représentations dans les mairies sur présentation du Récépissé Ravip)
Copie du Certificat d'Identification Personnelle (obligatoire, peut être obtenu à l'ANIP ou dans ses représentations dans les mairies, sur présentation du récépissé RAVIP)
Une photo bijou (obligatoire)
Preuve de la profession (facultative)
Preuve du groupe sanguin (facultative)
Quittance ou preuve valable de paiement de 6.000 FCFA sur le compte 102316471 au trésor public (obligatoire)
NB : Le retrait se fait obligatoirement par le demandeur, sauf autorisation dûment établie par la Direction Générale de l'ANIP."
https://service-public.bj/public/services/service/PS00392,Agence Nationale d’Identification des Personnes,"Délivrance du Certificat d'Identification Personnelle (CIP)
Document sécurisé qui certifie de l'identité de la personne
Durée estimée:
48h
Coût de service:
1800 FCFA
Site Internet:
https://eservices.anip.bj
Qui peut faire la demande?
Tout citoyen
Institution en charge du service:
Agence Nationale d’Identification des Personnes
Institution compétente:
Agence Nationale d’Identification des Personnes
Législation:
DÉCRET N. 2o2o - 099 DU 26 FEVRIER 2o2o
Localisation, heures de service:
Patte d’Oie, Cadjèhoun Cotonou, à côté de la station SONACOP de Cadjèhoun E-Mail : contact@anip.bj Palais de la Marina 01BP2028 Cotonou-Bénin, Lundi au Vendredi -Matinée : 08h00mn-12h30mn -Soirée : 12h00mn-17h00mn
Faire une demande CERTIFICAT D’IDENTIFICATION PERSONNELLE (CIP) Uniquement pour les nationaux
copie du récépissé RAVIP ;
copie de l’acte de naissance ;
attestation de résidence ou facture SBEE/SONEB ;
quittance de paiement des frais.
CERTIFICAT D’IDENTIFICATION PERSONNELLE DU RESIDENT (CIPR) Uniquement pour les étrangers
copie du récépissé RAVIP ;
copie de l’acte de naissance ;
attestation de résidence ou facture SBEE/SONEB ;
quittance de paiement des frais."
https://service-public.bj/public/services/service/PS00841,Agence Nationale d’Identification des Personnes,"Délivrance du duplicata du récépissé RAVIP
Duplicata de la preuve d'inscription au Registre National des Personnes Physique
Durée estimée:
48h
Coût de service:
500 FCFA
Site Internet:
https://eservices.anip.bj
Qui peut faire la demande?
Toutes personnes ayant fait son enrôlement RAVIP
Institution en charge du service:
Agence Nationale d’Identification des Personnes
Institution compétente:
Agence Nationale d’Identification des Personnes
Localisation, heures de service:
Patte d’Oie, Cadjèhoun Cotonou, à côté de la station SONACOP de Cadjèhoun E-Mail : contact@anip.bj Palais de la Marina 01BP2028 Cotonou-Bénin, Lundi au Vendredi -Matinée : 08h00mn-12h30mn -Soirée : 12h00mn-17h00mn
Faire une demande Copie de l'acte de naissance
Numéro de téléphone communiqué lors de l'enrôlement RAVIP"
https://service-public.bj/public/services/service/PS00843,Agence Nationale d’Identification des Personnes,"Enrôlement au RAVIP
Inscription au Registre National des Personnes Physiques
Coût de service:
0 FCFA
Qui peut faire la demande?
Toute personne
Institution en charge du service:
Agence Nationale d’Identification des Personnes
Institution compétente:
Agence Nationale d’Identification des Personnes
Législation:
Loi-N°-2017-08-portant-identification-des-personnes
Localisation, heures de service:
Patte d’Oie, Cadjèhoun Cotonou, à côté de la station SONACOP de Cadjèhoun E-Mail : contact@anip.bj Palais de la Marina 01BP2028 Cotonou-Bénin, Lundi au Vendredi -Matinée : 08h00mn-12h30mn -Soirée : 12h00mn-17h00mn ❖ RAVIP
acte de naissance ou CNI ou passeport ou carte LEPI ;
numéro matricule pour les Agents de l’Etat ;
attestation de résidence ou facture SBEE/SONEB.
❖ RAVIP sous témoignage
fiche de témoignage à faire signer par le chef quartier ou chef du village ;
trois (03) témoins disposant chacun d’un certificat d’identification personnel ;
attestation de résidence ou facture SBEE/SONEB ;
formulaire de témoignage 500 FCFA"
https://service-public.bj/public/services/service/PS00062,Agence de Promotion des Investissements et des Exportations,"Création d'une entreprise
Création d'une entreprise au Bénin
Durée estimée:
3 Heures
Coût de service:
Etablissement : 10 000 FCFA Société : 17 000 FCFA
Site Internet:
https://monentreprise.bj/
Démarches pour l'usager:
Formalités : Coûts Etablissement
Dépôt des journaux : Sans coût ; Immatriculation au RCCM 5.000 FCFA ; Carte de Commerçant / Carte d’Importateur : 5.000 FCFA ; Publication en ligne sur le site internet du GUFE : Sans coût ; Immatriculation à l’Identifiant Fiscal Unique (IFU) : Sans coût ; Prestation du GUFE : Sans coût ; Coût total : 10 000 FCFA ;

Formalités : Coûts Société
Dépôt des statuts : Sans coût ; Dépôt des journaux : Sans coût ; Immatriculation au RCCM 12.000 FCFA ; Carte de Commerçant / Carte d’Importateur : 5.000 FCFA ; Publication en ligne sur le site internet du GUFE : Sans coût ; Immatriculation à l’Identifiant Fiscal Unique (IFU) : Sans coût ; Prestation du GUFE : Sans coût ; Coût total : 17 000 FCFA ;
Institution en charge du service:
Agence de Promotion des Investissements et des Exportations
Institution compétente:
Agence pour la Promotion des Investissements et des Exportations
Localisation, heures de service:
Immeuble APIEX-ANAEPMR Lot 368, Face Hall des Arts 01 BP 5160 Cotonou - Bénin Tél: + 229 21 31 86 50, + 229 21 31 86 72 , + 229 21 31 07 04 Email: contact@apiex.bj, Lundi au Vendredi Matinée : 08h00mn à 12h30mn Après-midi : 14h00mn à 17h30mn
Faire une demande Liste des pièces à fournir pour une entreprise
Carte nationale d'identité ou Passeport
Déclaration sur l'honneur concernant l'absence de condamnation du dirigeant
Titre de séjour du gérants (étrangers)
Photo d'identité
Liste des pièces à fournir pour une société
Statuts notariés ou Statut-APIEx de la société
Carte nationale d'identité ou Passeport du ou des gérants
Déclaration sur l'honneur de non condamnation du gérant ou des gérants
Titre de séjour du ou des gérants
Photo d'identité du premier gérant
Bordereau de versement du capital ou Déclaration de souscription pour les Statut-APIEx"
https://service-public.bj/public/services/service/PS00383,Agence de Promotion des Investissements et des Exportations,"Demande d'agrément au code des investissements
Les services fournis par l’APIEx aux investisseurs concernent notamment :
L’assistance et l’accompagnement des investisseurs pour la mise en place et le suivi de leurs projets d’investissements ;
La mise à leur disposition des Informations sur les opportunités et procédures nationales d’investissement ainsi que les différents avantages ou incitations appliqués aux cinq (05) régimes privilégiés (A, B, C, D et E) et au régime spécial instaurés par le Code des investissements ;
L’étude, le traitement et le suivi des** dossiers de demande d’agrément au code des investissements jusqu’à l’obtention de l’agrément ;**
Autres Services d’appui
Création d’un réseau de contacts avec des institutions spécialisées dans l’assistance-conseil en matière de commerce international et des investissements
Orientation des investisseurs vers l’exportation des produits et services à forte valeur ajoutée.
Organisation de forums et rencontres B2B entre investisseurs et entrepreneurs béninois.
Qui peut faire la demande?
Investisseurs béninois et étrangers, les usagers
Institution en charge du service:
Agence de Promotion des Investissements et des Exportations
Institution compétente:
Agence de Promotion des Investissements et des Exportations
Localisation, heures de service:
Immeuble APIEX-ANAEPMR Lot 368, Face Hall des Arts 01 BP 5160 Cotonou - Bénin Tél: + 229 21 31 86 50, + 229 21 31 86 72 , + 229 21 31 07 04 Email: contact@apiex.bj, Lundi au Vendredi Matinée : 08h00mn à 12h30mn Après-midi : 14h00mn à 17h30mn"
https://service-public.bj/public/services/service/PS01268,Agence de Promotion des Investissements et des Exportations,"Modification d'une entreprise
Vous permet d’apporter des modifications aux informations légales (adresse du siège de votre activité, sa raison sociale et/ou l’objet social.etc) inscrit sur le registre de commerce de vos entreprises (établissements ou société).
Coût de service:
Etablissement : 9 100 FCFA Société: 18 100 FCFA
Site Internet:
https://monentreprise.bj
Qui peut faire la demande?
Tout citoyen
Institution en charge du service:
Agence de Promotion des Investissements et des Exportations
Institution compétente:
Agence de Promotion des Investissements et des Exportations
Localisation, heures de service:
Immeuble APIEX-ANAEPMR Lot 368, Face Hall des Arts 01 BP 5160 Cotonou - Bénin Tél: + 229 21 31 86 50, + 229 21 31 86 72 , + 229 21 31 07 04 Email: contact@apiex.bj, Lundi au Vendredi Matinée : 08h00mn à 12h30mn Après-midi : 14h00mn à 17h30mn
Faire une demande Liste des pièces pour Etablissement
- Extrait d'immatriculation RCCM - Carte nationale d'identité ou Passeport
Liste des pièces pour la Société
- Extrait d'immatriculation RCCM - Carte nationale d'identité ou Passeport du ou des gérants - Procès verbaux de décision - Carte nationale d'identité ou Passeport du ou des associés - Statuts notariés - Acte de dépôt"
